dataset_name,variation_type,variation_value,model_name,mean_jaccard,std_jaccard,mean_spearman,std_spearman,test_accuracy,test_f1,test_roc_auc,n_instances,n_lime_runs,top_k
adult_income,baseline,0.0,logistic_regression,0.8998329156223893,0.05584377465782442,0.9276049213943949,0.06424554763308993,0.8523902139420616,0.6561754887935145,0.9042148127759706,30,20,5
adult_income,baseline,0.0,random_forest,0.9549707602339182,0.055989538307586476,0.9239473684210525,0.053784297951786124,0.8572013512130208,0.6774566473988439,0.9053956508230439,30,20,5
adult_income,baseline,0.0,mlp,0.6835505430242274,0.06265709258616832,0.36966085668717247,0.0660692390725579,0.8345787695772341,0.6526225279449699,0.8788437313043329,30,20,5
breast_cancer,baseline,0.0,logistic_regression,0.6120836814257866,0.1554315541030074,0.38955275139258805,0.27966908409441327,0.9824561403508771,0.9861111111111112,0.9953703703703703,30,20,5
breast_cancer,baseline,0.0,random_forest,0.7608876357560568,0.16693133124980503,0.7436818653216112,0.26929495096333633,0.9473684210526315,0.9583333333333334,0.9937169312169313,30,20,5
breast_cancer,baseline,0.0,mlp,0.5891562238930662,0.13421647862190603,0.43464796198961353,0.25873407384494207,0.9649122807017544,0.971830985915493,0.9937169312169312,30,20,5
