dataset_name,variation_type,variation_value,model_name,mean_jaccard,std_jaccard,mean_spearman,std_spearman,test_accuracy,test_f1,test_roc_auc,n_instances,n_lime_runs,top_k
adult_income,noise,0.05,logistic_regression,0.8429010025062657,0.09509421336911006,0.8411840396445659,0.05778127400628698,0.8507523799774798,0.6516961299569995,0.9032972753380143,30,20,5
adult_income,noise,0.1,logistic_regression,0.7292230576441103,0.04348042034446025,0.7638525860104807,0.07417275467635204,0.8496263691268298,0.6493196466937217,0.9016743604894715,30,20,5
adult_income,noise,0.05,random_forest,0.812015455304929,0.07920100278303646,0.8258704716336295,0.07885535983967923,0.860067560651039,0.6770611859201512,0.9118917134299369,30,20,5
adult_income,noise,0.1,random_forest,0.8109962406015039,0.08418949788258781,0.8306533378901799,0.08303725246484936,0.8587368205548163,0.672209026128266,0.9099790211376082,30,20,5
adult_income,noise,0.05,mlp,0.5283959899749374,0.05577794374879734,0.11590271132376397,0.10991283274718042,0.8412324700583478,0.6377014716187807,0.8863689081839782,30,20,5
adult_income,noise,0.1,mlp,0.4809837092731829,0.03903264664151125,0.10000404420141261,0.14645655518769687,0.8307912785341386,0.631602406953421,0.8751552780015837,30,20,5
breast_cancer,noise,0.05,logistic_regression,0.6452450570871623,0.14943248669253414,0.47838736928528214,0.24186361769405823,0.9736842105263158,0.9790209790209791,0.9960317460317459,30,20,5
breast_cancer,noise,0.1,logistic_regression,0.625398217766639,0.1494805816030288,0.47479858344921866,0.2578097642996672,0.9736842105263158,0.9790209790209791,0.996362433862434,30,20,5
breast_cancer,noise,0.05,random_forest,0.7679678362573099,0.18075731995001762,0.7687684454081913,0.2597140355675521,0.9473684210526315,0.9583333333333334,0.9920634920634921,30,20,5
breast_cancer,noise,0.1,random_forest,0.7392084377610695,0.18455714689758418,0.7394843161980186,0.27077405344077304,0.9385964912280702,0.951048951048951,0.9914021164021164,30,20,5
breast_cancer,noise,0.05,mlp,0.5717091339459762,0.13218613702123141,0.4104420691226498,0.26242359226711387,0.956140350877193,0.9645390070921985,0.9976851851851851,30,20,5
breast_cancer,noise,0.1,mlp,0.5647089947089948,0.1275803129091554,0.3853781770256362,0.2415883886088418,0.9649122807017544,0.971830985915493,0.9976851851851851,30,20,5
