dataset_name,variation_type,variation_value,model_name,mean_jaccard,std_jaccard,mean_spearman,std_spearman,test_accuracy,test_f1,test_roc_auc,n_instances,n_lime_runs,top_k
adult_income,baseline,0.0,logistic_regression,0.8998329156223893,0.0558437746578244,0.9276049213943948,0.0642455476330899,0.8523902139420616,0.6561754887935145,0.9042148127759706,30,20,5
adult_income,baseline,0.0,random_forest,0.9549707602339182,0.0559895383075864,0.9239473684210524,0.0537842979517861,0.8572013512130208,0.6774566473988439,0.905395650823044,30,20,5
adult_income,baseline,0.0,mlp,0.6835505430242274,0.0626570925861683,0.3696608566871724,0.0660692390725579,0.8345787695772341,0.6526225279449699,0.8788437313043329,30,20,5
breast_cancer,baseline,0.0,logistic_regression,0.6120836814257866,0.1554315541030074,0.389552751392588,0.2796690840944132,0.9824561403508772,0.9861111111111112,0.9953703703703703,30,20,5
breast_cancer,baseline,0.0,random_forest,0.7608876357560568,0.166931331249805,0.7436818653216112,0.2692949509633363,0.9473684210526316,0.9583333333333334,0.9937169312169312,30,20,5
breast_cancer,baseline,0.0,mlp,0.5891562238930662,0.134216478621906,0.4346479619896135,0.258734073844942,0.9649122807017544,0.971830985915493,0.9937169312169312,30,20,5
adult_income,noise,0.05,logistic_regression,0.8429010025062657,0.09509421336911,0.8411840396445659,0.0577812740062869,0.8507523799774798,0.6516961299569995,0.9032972753380144,30,20,5
adult_income,noise,0.1,logistic_regression,0.7292230576441103,0.0434804203444602,0.7638525860104807,0.074172754676352,0.8496263691268298,0.6493196466937217,0.9016743604894716,30,20,5
adult_income,noise,0.05,random_forest,0.812015455304929,0.0792010027830364,0.8258704716336295,0.0788553598396792,0.860067560651039,0.6770611859201512,0.9118917134299368,30,20,5
adult_income,noise,0.1,random_forest,0.8109962406015039,0.0841894978825878,0.8306533378901799,0.0830372524648493,0.8587368205548163,0.672209026128266,0.9099790211376082,30,20,5
adult_income,noise,0.05,mlp,0.5283959899749374,0.0557779437487973,0.1159027113237639,0.1099128327471804,0.8412324700583478,0.6377014716187807,0.8863689081839782,30,20,5
adult_income,noise,0.1,mlp,0.4809837092731829,0.0390326466415112,0.1000040442014126,0.1464565551876968,0.8307912785341386,0.631602406953421,0.8751552780015837,30,20,5
breast_cancer,noise,0.05,logistic_regression,0.6452450570871623,0.1494324866925341,0.4783873692852821,0.2418636176940582,0.9736842105263158,0.9790209790209792,0.996031746031746,30,20,5
breast_cancer,noise,0.1,logistic_regression,0.625398217766639,0.1494805816030288,0.4747985834492186,0.2578097642996672,0.9736842105263158,0.9790209790209792,0.996362433862434,30,20,5
breast_cancer,noise,0.05,random_forest,0.7679678362573099,0.1807573199500176,0.7687684454081913,0.2597140355675521,0.9473684210526316,0.9583333333333334,0.992063492063492,30,20,5
breast_cancer,noise,0.1,random_forest,0.7392084377610695,0.1845571468975841,0.7394843161980186,0.270774053440773,0.9385964912280702,0.951048951048951,0.9914021164021164,30,20,5
breast_cancer,noise,0.05,mlp,0.5717091339459762,0.1321861370212314,0.4104420691226498,0.2624235922671138,0.956140350877193,0.9645390070921984,0.9976851851851852,30,20,5
breast_cancer,noise,0.1,mlp,0.5647089947089948,0.1275803129091554,0.3853781770256362,0.2415883886088418,0.9649122807017544,0.971830985915493,0.9976851851851852,30,20,5
adult_income,imbalance,0.7,logistic_regression,0.9093065998329156,0.0792026368944874,0.9116274777853725,0.0893516976450381,0.8530044016787798,0.6622765757290687,0.9076094883305652,30,20,5
adult_income,imbalance,0.9,logistic_regression,0.9242105263157896,0.086608085694942,0.7340250626566415,0.0917359487343504,0.9214000242218724,0.4640792733278282,0.9019970003287712,30,20,5
adult_income,imbalance,0.7,random_forest,0.8979866332497912,0.0696074861043966,0.8830583276372751,0.0530109423600459,0.8574060804585935,0.6798437140887152,0.9078642415267508,30,20,5
adult_income,imbalance,0.9,random_forest,0.7391729323308271,0.0490763613832933,0.5496807928913192,0.0522915972137216,0.9253966331597432,0.5326251896813353,0.8971953595353279,30,20,5
adult_income,imbalance,0.7,mlp,0.7025522138680035,0.0541293662636874,0.4835499544315334,0.0858529650230049,0.8283345275872659,0.6331218551739226,0.8726591744131554,30,20,5
adult_income,imbalance,0.9,mlp,0.5550306321358954,0.0527689640988402,0.4480913647755754,0.085278421899253,0.8901538088894272,0.4699006428988895,0.857752257003333,30,20,5
breast_cancer,imbalance,0.7,logistic_regression,0.6604887218045115,0.1108079217827978,0.5551711095921622,0.1852565424655188,0.9705882352941176,0.9793103448275862,0.9972739663789189,30,20,5
breast_cancer,imbalance,0.9,logistic_regression,0.4473085491506544,0.1021549442187546,0.122000583354939,0.2376885460362476,0.975,0.9863013698630136,0.9791666666666666,30,20,5
breast_cancer,imbalance,0.7,random_forest,0.7488707880813144,0.1705539098505936,0.6611883686488949,0.2481957840458418,0.9705882352941176,0.9793103448275862,0.9879600181735576,30,20,5
breast_cancer,imbalance,0.9,random_forest,0.6812698412698415,0.1317329153914475,0.7173523581681477,0.1261520233718294,0.975,0.9863013698630136,0.907986111111111,30,20,5
breast_cancer,imbalance,0.7,mlp,0.636598440545809,0.1163734410586647,0.5645829247884602,0.2102801136743751,0.9705882352941176,0.9793103448275862,0.9963652885052248,30,20,5
breast_cancer,imbalance,0.9,mlp,0.4242119186856029,0.1183725280815683,0.079064174935772,0.2847111629023161,0.975,0.9863013698630136,0.9895833333333334,30,20,5
