dataset_name,variation_type,variation_value,model_name,instance_index,mean_jaccard,mean_spearman
breast_cancer,imbalance,0.9,mlp,75,0.43448203842940686,0.05630553656869446
breast_cancer,imbalance,0.9,mlp,32,0.44465329991645786,0.19933014354066986
breast_cancer,imbalance,0.9,mlp,54,0.2847117794486215,-0.36056933085063764
breast_cancer,imbalance,0.9,mlp,48,0.3612990810359232,0.20705058099794943
breast_cancer,imbalance,0.9,mlp,4,0.2776315789473684,-0.4042399297617083
breast_cancer,imbalance,0.9,mlp,5,0.4783625730994152,0.2940396445659603
breast_cancer,imbalance,0.9,mlp,13,0.4360275689223058,0.16583561175666442
breast_cancer,imbalance,0.9,mlp,77,0.5451127819548873,0.3093045112781955
breast_cancer,imbalance,0.9,mlp,51,0.5115288220551378,0.5736978810663022
breast_cancer,imbalance,0.9,mlp,57,0.28527568922305757,-0.24916645060928186
breast_cancer,imbalance,0.9,mlp,8,0.36365914786967424,-0.22464486058406205
breast_cancer,imbalance,0.9,mlp,11,0.22591896407685874,-0.28730271996605933
breast_cancer,imbalance,0.9,mlp,60,0.464891395154553,0.14755639097744364
breast_cancer,imbalance,0.9,mlp,66,0.5319548872180451,0.1812645249487355
breast_cancer,imbalance,0.9,mlp,68,0.3794277360066834,0.1755604921394395
breast_cancer,imbalance,0.9,mlp,58,0.5105263157894737,0.1585457963089542
breast_cancer,imbalance,0.9,mlp,26,0.5844611528822056,0.3335184552289816
breast_cancer,imbalance,0.9,mlp,46,0.6194862155388472,0.5258595352016405
breast_cancer,imbalance,0.9,mlp,30,0.4865705931495406,0.28638414217361585
breast_cancer,imbalance,0.9,mlp,23,0.29972848788638257,-0.220559667193061
breast_cancer,imbalance,0.9,mlp,79,0.47320384294068507,0.23103212576896787
breast_cancer,imbalance,0.9,mlp,43,0.37048872180451126,-0.2065857826384142
breast_cancer,imbalance,0.9,mlp,31,0.6607769423558898,0.40004442925495565
breast_cancer,imbalance,0.9,mlp,35,0.42406015037593986,-0.0018455228981544725
breast_cancer,imbalance,0.9,mlp,40,0.6285714285714287,0.4156322624743678
breast_cancer,imbalance,0.9,mlp,73,0.3081035923141186,-0.25548901642821786
breast_cancer,imbalance,0.9,mlp,64,0.28763575605680863,-0.2979770547057298
breast_cancer,imbalance,0.9,mlp,34,0.34486215538847115,-0.10547534588823156
breast_cancer,imbalance,0.9,mlp,56,0.26378446115288223,-0.11094326725905676
breast_cancer,imbalance,0.9,mlp,63,0.43916040100250625,0.4357621326042379
