dataset_name,variation_type,variation_value,model_name,instance_index,mean_jaccard,mean_spearman
breast_cancer,noise,0.1,random_forest,70,0.9350877192982455,0.7739097744360902
breast_cancer,noise,0.1,random_forest,50,0.6646616541353384,0.632987012987013
breast_cancer,noise,0.1,random_forest,88,0.49114452798663333,0.4530724538619275
breast_cancer,noise,0.1,random_forest,77,0.5552631578947368,0.5638721804511279
breast_cancer,noise,0.1,random_forest,7,1.0,0.9226315789473685
breast_cancer,noise,0.1,random_forest,8,0.9666666666666668,0.9845112781954886
breast_cancer,noise,0.1,random_forest,19,0.7310776942355891,0.8506356801093643
breast_cancer,noise,0.1,random_forest,92,1.0,0.9494736842105262
breast_cancer,noise,0.1,random_forest,78,0.7631578947368423,0.9012030075187971
breast_cancer,noise,0.1,random_forest,64,1.0,0.9494736842105262
breast_cancer,noise,0.1,random_forest,13,1.0,0.9394736842105263
breast_cancer,noise,0.1,random_forest,18,0.699248120300752,0.7650649350649351
breast_cancer,noise,0.1,random_forest,93,0.9666666666666666,0.9642105263157895
breast_cancer,noise,0.1,random_forest,51,0.48861737677527156,0.3070625427204374
breast_cancer,noise,0.1,random_forest,86,0.5959899749373434,0.5814883800410117
breast_cancer,noise,0.1,random_forest,85,0.760902255639098,0.7867327409432673
breast_cancer,noise,0.1,random_forest,39,0.7701754385964913,0.9528571428571425
breast_cancer,noise,0.1,random_forest,71,0.8230576441102758,0.7867600820232398
breast_cancer,noise,0.1,random_forest,44,0.6776942355889726,0.7178332194121666
breast_cancer,noise,0.1,random_forest,38,0.4173558897243108,0.10267088174982911
breast_cancer,noise,0.1,random_forest,113,0.7456140350877194,0.8455639097744362
breast_cancer,noise,0.1,random_forest,61,0.7561403508771931,0.8878195488721806
breast_cancer,noise,0.1,random_forest,46,0.7305764411027571,0.8093301435406698
breast_cancer,noise,0.1,random_forest,52,0.792982456140351,0.8596992481203009
breast_cancer,noise,0.1,random_forest,66,0.33686299081035925,-0.11191617366299762
breast_cancer,noise,0.1,random_forest,100,0.8263157894736843,0.9553383458646615
breast_cancer,noise,0.1,random_forest,98,0.7686716791979953,0.8653725222146275
breast_cancer,noise,0.1,random_forest,56,0.655639097744361,0.8290157211209843
breast_cancer,noise,0.1,random_forest,90,0.44615705931495403,0.3908629528366371
breast_cancer,noise,0.1,random_forest,74,0.810526315789474,0.967518796992481
