dataset_name,variation_type,variation_value,model_name,instance_index,mean_jaccard,mean_spearman
adult_income,baseline,0.0,mlp,6287,0.6230576441102756,0.36371326042378677
adult_income,baseline,0.0,mlp,5133,0.7082706766917295,0.40365686944634316
adult_income,baseline,0.0,mlp,4219,0.7468671679197996,0.3843814080656186
adult_income,baseline,0.0,mlp,8367,0.6194235588972432,0.3010663021189337
adult_income,baseline,0.0,mlp,869,0.6864035087719299,0.31547163362952835
adult_income,baseline,0.0,mlp,918,0.6857142857142858,0.4763568010936432
adult_income,baseline,0.0,mlp,1782,0.7278195488721806,0.4219412166780589
adult_income,baseline,0.0,mlp,8035,0.7927318295739348,0.4905536568694463
adult_income,baseline,0.0,mlp,7668,0.6444235588972432,0.2598974709501025
adult_income,baseline,0.0,mlp,6797,0.6588972431077695,0.31272727272727274
adult_income,baseline,0.0,mlp,1250,0.7917293233082707,0.5193984962406015
adult_income,baseline,0.0,mlp,1963,0.6924812030075188,0.37956937799043067
adult_income,baseline,0.0,mlp,9513,0.6169172932330828,0.299149008885851
adult_income,baseline,0.0,mlp,5007,0.6573934837092733,0.3451059466848941
adult_income,baseline,0.0,mlp,8194,0.6766917293233085,0.3851196172248805
adult_income,baseline,0.0,mlp,7631,0.6338972431077695,0.3462645249487355
adult_income,baseline,0.0,mlp,3619,0.6268796992481204,0.2816267942583732
adult_income,baseline,0.0,mlp,7175,0.8824561403508772,0.43578947368421045
adult_income,baseline,0.0,mlp,3929,0.643609022556391,0.3064593301435407
adult_income,baseline,0.0,mlp,4275,0.6649122807017546,0.3524880382775121
adult_income,baseline,0.0,mlp,4331,0.6076441102756892,0.2643916609706083
adult_income,baseline,0.0,mlp,5327,0.6523809523809525,0.41875598086124416
adult_income,baseline,0.0,mlp,4395,0.7230576441102758,0.41541353383458657
adult_income,baseline,0.0,mlp,4883,0.6282581453634085,0.32896445659603557
adult_income,baseline,0.0,mlp,7539,0.6640350877192984,0.3796787423103213
adult_income,baseline,0.0,mlp,9048,0.7238095238095239,0.3274094326725906
adult_income,baseline,0.0,mlp,6998,0.6627819548872182,0.3470369104579632
adult_income,baseline,0.0,mlp,6376,0.6176065162907268,0.38473171565276837
adult_income,baseline,0.0,mlp,837,0.7260651629072684,0.46017771701982235
adult_income,baseline,0.0,mlp,7423,0.7203007518796994,0.38252904989747094
