dataset_name,variation_type,variation_value,model_name,instance_index,mean_jaccard,mean_spearman
adult_income,noise,0.05,random_forest,6287,0.8807017543859648,0.8761654135338347
adult_income,noise,0.05,random_forest,5133,0.812280701754386,0.8872932330827069
adult_income,noise,0.05,random_forest,4219,0.831829573934837,0.89311004784689
adult_income,noise,0.05,random_forest,8367,0.8824561403508773,0.8862406015037595
adult_income,noise,0.05,random_forest,869,0.7025062656641606,0.8176486671223514
adult_income,noise,0.05,random_forest,918,0.9105263157894737,0.8616541353383459
adult_income,noise,0.05,random_forest,1782,0.8017543859649123,0.8764661654135338
adult_income,noise,0.05,random_forest,8035,0.7844611528822056,0.866267942583732
adult_income,noise,0.05,random_forest,7668,0.8012531328320803,0.712617908407382
adult_income,noise,0.05,random_forest,6797,0.6145363408521303,0.6286807928913193
adult_income,noise,0.05,random_forest,1250,0.8403508771929825,0.9111278195488722
adult_income,noise,0.05,random_forest,1963,0.6958020050125315,0.6809193438140806
adult_income,noise,0.05,random_forest,9513,0.79874686716792,0.8300341763499658
adult_income,noise,0.05,random_forest,5007,0.9666666666666666,0.8548872180451129
adult_income,noise,0.05,random_forest,8194,0.7007518796992482,0.7036637047163363
adult_income,noise,0.05,random_forest,7631,0.7912280701754388,0.9092481203007517
adult_income,noise,0.05,random_forest,3619,0.9105263157894737,0.927593984962406
adult_income,noise,0.05,random_forest,7175,0.71077694235589,0.7431715652768285
adult_income,noise,0.05,random_forest,3929,0.8122807017543858,0.843233082706767
adult_income,noise,0.05,random_forest,4275,0.868421052631579,0.9070676691729324
adult_income,noise,0.05,random_forest,4331,0.8824561403508772,0.8109022556390978
adult_income,noise,0.05,random_forest,5327,0.8518796992481203,0.7659056732740942
adult_income,noise,0.05,random_forest,4395,0.760902255639098,0.8162200956937798
adult_income,noise,0.05,random_forest,4883,0.781704260651629,0.7945044429254955
adult_income,noise,0.05,random_forest,7539,0.7350877192982457,0.7054477101845522
adult_income,noise,0.05,random_forest,9048,0.8102756892230577,0.7788858509911141
adult_income,noise,0.05,random_forest,6998,0.8140350877192982,0.8327067669172933
adult_income,noise,0.05,random_forest,6376,0.8746867167919801,0.8558783321941213
adult_income,noise,0.05,random_forest,837,0.9368421052631579,0.9084962406015037
adult_income,noise,0.05,random_forest,7423,0.7947368421052632,0.8900751879699249
